,titres,liens,composes
0,"<a class=""omnitureproductlink product-image-link"" href=""/ensemble-combinaison-bandeau-imprimes-bebe-fille-vert-celadon-imprime.htm?ProductId=702040894&amp;FiltreCouleur=6726&amp;t=1"">Ensemble combinaison + bandeau imprimés bébé fille - vert...</a>",/ensemble-combinaison-bandeau-imprimes-bebe-fille-vert-celadon-imprime.htm?ProductId=702040894&FiltreCouleur=6726&t=1,['100% coton']
1,"<a class=""omnitureproductlink product-image-link"" href=""/sweat-bebe-encolure-en-broderie-anglaise-rose-poudre.htm?ProductId=341003811&amp;FiltreCouleur=1130&amp;t=1"">Sweat bébé encolure en broderie anglaise - rose poudré</a>",/sweat-bebe-encolure-en-broderie-anglaise-rose-poudre.htm?ProductId=341003811&FiltreCouleur=1130&t=1,"['98% coton', '2% �lasthanne']"
2,"<a class=""omnitureproductlink product-image-link"" href=""/body-fleuri-en-gaze-de-coton-bebe-naissance-manches-longues-ecru.htm?ProductId=341003161&amp;FiltreCouleur=0401&amp;t=1"">Body fleuri en gaze de coton bébé naissance manches longues...</a>",/body-fleuri-en-gaze-de-coton-bebe-naissance-manches-longues-ecru.htm?ProductId=341003161&FiltreCouleur=0401&t=1,['100% coton']
3,"<a class=""omnitureproductlink product-image-link"" href=""/ensemble-combinaison-bandeau-imprimes-bebe-fille-bleu-ciel.htm?ProductId=702040894&amp;FiltreCouleur=0511&amp;t=1"">Ensemble combinaison + bandeau imprimés bébé fille - bleu...</a>",/ensemble-combinaison-bandeau-imprimes-bebe-fille-bleu-ciel.htm?ProductId=702040894&FiltreCouleur=0511&t=1,['100% coton']
4,"<a class=""omnitureproductlink product-image-link"" href=""/ensemble-combinaison-bandeau-imprimes-bebe-fille-caramel.htm?ProductId=702040894&amp;FiltreCouleur=0810&amp;t=1"">Ensemble combinaison + bandeau imprimés bébé fille - caramel</a>",/ensemble-combinaison-bandeau-imprimes-bebe-fille-caramel.htm?ProductId=702040894&FiltreCouleur=0810&t=1,['100% coton']
5,"<a class=""omnitureproductlink product-image-link"" href=""/combinaison-en-gaze-de-coton-double-bebe-ivoire.htm?ProductId=702170422&amp;FiltreCouleur=6350&amp;t=1"">Combinaison en gaze de coton doublé bébé - ivoire</a>",/combinaison-en-gaze-de-coton-double-bebe-ivoire.htm?ProductId=702170422&FiltreCouleur=6350&t=1,"['100% coton', '100% coton']"
6,"<a class=""omnitureproductlink product-image-link"" href=""/combinaison-en-cotes-bebe-manches-longues-beige-chine.htm?ProductId=702170444&amp;FiltreCouleur=6323&amp;t=1"">Combinaison en côtes bébé manches longues - beige chiné</a>",/combinaison-en-cotes-bebe-manches-longues-beige-chine.htm?ProductId=702170444&FiltreCouleur=6323&t=1,"['53% viscose', '29% polyester', '18% polyamide']"
7,"<a class=""omnitureproductlink product-image-link"" href=""/ensemble-mixte-en-tricot-t-shirt-et-pantalon-bebe-gris-clair-chine.htm?ProductId=702041172&amp;FiltreCouleur=6423&amp;t=1"">Ensemble mixte en tricot T-shirt et pantalon bébé - gris...</a>",/ensemble-mixte-en-tricot-t-shirt-et-pantalon-bebe-gris-clair-chine.htm?ProductId=702041172&FiltreCouleur=6423&t=1,"['18% polyamide', '29% polyester', '53% viscose']"
8,"<a class=""omnitureproductlink product-image-link"" href=""/ensemble-en-maille-pointelle-t-shirt-et-pantalon-bebe-sable.htm?ProductId=702041142&amp;FiltreCouleur=6309&amp;t=1"">Ensemble en maille pointelle T-shirt et pantalon bébé -...</a>",/ensemble-en-maille-pointelle-t-shirt-et-pantalon-bebe-sable.htm?ProductId=702041142&FiltreCouleur=6309&t=1,['100% coton']
9,"<a class=""omnitureproductlink product-image-link"" href=""/ensemble-naissance-3-pieces-en-point-mousse-beige-chine.htm?ProductId=341003477&amp;FiltreCouleur=0323&amp;t=1"">Ensemble naissance 3 pièces en point mousse - beige chiné</a>",/ensemble-naissance-3-pieces-en-point-mousse-beige-chine.htm?ProductId=341003477&FiltreCouleur=0323&t=1,"['100% coton', '96% coton', '4% �lasthanne']"
10,"<a class=""omnitureproductlink product-image-link"" href=""/blouse-bebe-a-volants-jaune-pale.htm?ProductId=341004194&amp;FiltreCouleur=0710&amp;t=1"">Blouse bébé à volants - jaune pâle</a>",/blouse-bebe-a-volants-jaune-pale.htm?ProductId=341004194&FiltreCouleur=0710&t=1,['100% coton']
11,"<a class=""omnitureproductlink product-image-link"" href=""/sweat-a-message-bebe-personnalisable-vert-grise.htm?ProductId=702110342&amp;FiltreCouleur=6730&amp;t=1"">Sweat à message bébé personnalisable - vert grisé</a>",/sweat-a-message-bebe-personnalisable-vert-grise.htm?ProductId=702110342&FiltreCouleur=6730&t=1,"['80% coton', '20% polyester']"
12,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-bebe-en-denim-denim-brut.htm?ProductId=341003891&amp;FiltreCouleur=0542&amp;t=1"">Pantalon bébé en denim - denim brut</a>",/pantalon-bebe-en-denim-denim-brut.htm?ProductId=341003891&FiltreCouleur=0542&t=1,['100% coton']
13,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-coupe-sarouel-en-gaze-de-coton-blanc.htm?ProductId=702090505&amp;FiltreCouleur=6369&amp;t=1"">Pantalon coupe sarouel en gaze de coton - blanc</a>",/pantalon-coupe-sarouel-en-gaze-de-coton-blanc.htm?ProductId=702090505&FiltreCouleur=6369&t=1,['pur coton']
