,titres,liens,composes
0,"<a class=""omnitureproductlink product-image-link"" href=""/robe-fille-details-en-broderie-anglaise-blush-fonce.htm?ProductId=702130746&amp;FiltreCouleur=6639&amp;t=1"">Robe fille détails en broderie anglaise - blush foncé</a>",/robe-fille-details-en-broderie-anglaise-blush-fonce.htm?ProductId=702130746&FiltreCouleur=6639&t=1,[]
1,"<a class=""omnitureproductlink product-image-link"" href=""/robe-de-ceremonie-fille-en-satin-et-tulle-rose-poudre.htm?ProductId=702130284&amp;FiltreCouleur=6629&amp;t=1"">Robe de cérémonie fille en satin et tulle - rose poudré</a>",/robe-de-ceremonie-fille-en-satin-et-tulle-rose-poudre.htm?ProductId=702130284&FiltreCouleur=6629&t=1,['100% polyester']
2,"<a class=""omnitureproductlink product-image-link"" href=""/robe-a-bretelles-fille-rose.htm?ProductId=341004961&amp;FiltreCouleur=1116&amp;t=1"">Robe à bretelles fille - rose</a>",/robe-a-bretelles-fille-rose.htm?ProductId=341004961&FiltreCouleur=1116&t=1,[]
3,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-mom-fit-et-sa-ceinture-en-gaze-de-coton-fille-rose.htm?ProductId=702081016&amp;FiltreCouleur=6629&amp;t=1"">Pantalon ""mom fit"" et sa ceinture en gaze de coton fille -...</a>",/pantalon-mom-fit-et-sa-ceinture-en-gaze-de-coton-fille-rose.htm?ProductId=702081016&FiltreCouleur=6629&t=1,"['98% coton', '2% élasthanne']"
4,"<a class=""omnitureproductlink product-image-link"" href=""/pantacourt-large-style-paperbag-fille-en-gaze-de-coton-vieux-rose.htm?ProductId=341003410&amp;FiltreCouleur=1133&amp;t=1"">Pantacourt large style paperbag fille en gaze de coton -...</a>",/pantacourt-large-style-paperbag-fille-en-gaze-de-coton-vieux-rose.htm?ProductId=341003410&FiltreCouleur=1133&t=1,['100% coton']
5,"<a class=""omnitureproductlink product-image-link"" href=""/robe-en-denim-leger-effet-portefeuille-fille-stone.htm?ProductId=702130914&amp;FiltreCouleur=6394&amp;t=1"">Robe en denim léger effet portefeuille fille - stone</a>",/robe-en-denim-leger-effet-portefeuille-fille-stone.htm?ProductId=702130914&FiltreCouleur=6394&t=1,[]
6,"<a class=""omnitureproductlink product-image-link"" href=""/lot-de-2-legging-corsaires-fille-raye-imprime-lot-brique.htm?ProductId=700050130&amp;FiltreCouleur=6669&amp;t=1"">Lot de 2 legging corsaires fille rayé + imprimé - lot brique</a>",/lot-de-2-legging-corsaires-fille-raye-imprime-lot-brique.htm?ProductId=700050130&FiltreCouleur=6669&t=1,"['95% coton', '5% élasthanne']"
7,"<a class=""omnitureproductlink product-image-link"" href=""/pantacourt-en-gaze-de-coton-fille-bleu.htm?ProductId=702081052&amp;FiltreCouleur=6406&amp;t=1"">Pantacourt en gaze de coton fille - bleu</a>",/pantacourt-en-gaze-de-coton-fille-bleu.htm?ProductId=702081052&FiltreCouleur=6406&t=1,[]
8,"<a class=""omnitureproductlink product-image-link"" href=""/robe-fille-details-en-broderie-anglaise-mauve.htm?ProductId=702130746&amp;FiltreCouleur=1404&amp;t=1"">Robe fille détails en broderie anglaise - mauve</a>",/robe-fille-details-en-broderie-anglaise-mauve.htm?ProductId=702130746&FiltreCouleur=1404&t=1,[]
9,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-fluide-fille-imprime-fleuri-vert-imprime.htm?ProductId=702081055&amp;FiltreCouleur=6716&amp;t=1"">Pantalon fluide fille imprimé fleuri - vert imprimé</a>",/pantalon-fluide-fille-imprime-fleuri-vert-imprime.htm?ProductId=702081055&FiltreCouleur=6716&t=1,['100% viscose']
10,"<a class=""omnitureproductlink product-image-link"" href=""/lot-de-2-legging-corsaires-fille-raye-imprime-bleu-grise.htm?ProductId=700050130&amp;FiltreCouleur=0516&amp;t=1"">Lot de 2 legging corsaires fille rayé + imprimé - bleu grisé</a>",/lot-de-2-legging-corsaires-fille-raye-imprime-bleu-grise.htm?ProductId=700050130&FiltreCouleur=0516&t=1,"['95% coton', '5% élasthanne']"
11,"<a class=""omnitureproductlink product-image-link"" href=""/robe-a-bretelles-fille-abricot-poudre.htm?ProductId=341004961&amp;FiltreCouleur=1017&amp;t=1"">Robe à bretelles fille - abricot poudré</a>",/robe-a-bretelles-fille-abricot-poudre.htm?ProductId=341004961&FiltreCouleur=1017&t=1,[]
12,"<a class=""omnitureproductlink product-image-link"" href=""/robe-basics-imprimee-fille-manches-courtes-vert-fonce-imprime-tropical.htm?ProductId=702130698&amp;FiltreCouleur=6716&amp;t=1"">Robe Basics imprimée fille manches courtes - vert foncé...</a>",/robe-basics-imprimee-fille-manches-courtes-vert-fonce-imprime-tropical.htm?ProductId=702130698&FiltreCouleur=6716&t=1,[]
13,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-fluide-fille-imprime-fleuri-ecru.htm?ProductId=702081055&amp;FiltreCouleur=0401&amp;t=1"">Pantalon fluide fille imprimé fleuri - écru</a>",/pantalon-fluide-fille-imprime-fleuri-ecru.htm?ProductId=702081055&FiltreCouleur=0401&t=1,['100% viscose']
14,"<a class=""omnitureproductlink product-image-link"" href=""/robe-de-ceremonie-effet-2-en-1-superposition-en-macrame-fille-ivoire.htm?ProductId=702130935&amp;FiltreCouleur=6349&amp;t=1"">Robe de cérémonie effet 2 en 1 superposition en macramé...</a>",/robe-de-ceremonie-effet-2-en-1-superposition-en-macrame-fille-ivoire.htm?ProductId=702130935&FiltreCouleur=6349&t=1,[]
